artistname,artistid,Total tracks
E.G. Daily,256168,1
Pretty Poison,256173,1
Larry davis,256322,1
Robert Lindsay,256654,1
Bob Manning,254578,1
Sam Smith,250808,1
Philippe Cassard,243520,1
Kavinsky,245177,1
Georgio,246747,1
White Lies,247563,1
Tame Impala,247592,1
Tego Calderón,247873,1
Yundi Li,248996,1
The American Breed,241529,1
Connie Kay / Stan Getz / Herb Ellis / J.J. Johnson / Oscar Peterson / Ray Brown,240868,1
Coke Escovedo,241058,1
Rita Coolidge / Rupert Holmes,240448,1
François Feldman,240475,1
Kelly Price / Mary Mary,240542,1
Kelly Price / Jeffery Rolle Jr. / Jonia Rolle,240543,1
Kelly Price / Wynonna Judd,240544,1
The Fiestas,239163,1
The Rippingtons / Russ Freeman / Brandon Fields / Carl Anderson,239585,1
Louis Armstrong And His Hot Seven,92906,1
Dizzy Gillespie Sextet,92546,1
Boss,93538,1
Ravi Coltrane,94506,1
Glenn Miller Orchestra,95330,1
Guy Lombardo & His Royal Canadians,97345,1
Kim Sozzi,95610,1
Ella Johnson,95613,1
John Schneider,100364,1
Boo,97600,1
Joe Hinton,97715,1
Omega,98860,1
Strawberry Alarm Clock,98032,1
The Starlighters,101920,1
The Jerky Boys,102315,1
Roger Alan Wade,102550,1
Jessi Alexander,101468,1
Il Volo,101551,1
Rupert Holmes,100666,1
Voyce Boxing,100678,1
Carl Anderson,100679,1
Laima,100680,1
Marc Antoine / Patti Austin,100755,1
Dorothy Norwood,101172,1
Hansel Y Raul,111659,1
Little Johnny Taylor,111931,1
Mack Rice,111932,1
Billy Vaughn And His Orchestra,111994,1
Chris Andrews,109265,1
Ashley Ray,110048,1
Jump,111178,1
Jack DeJohnette,111332,1
Resorte,104023,1
The Enchanters,104678,1
The Sons Of Champlin,106303,1
Chevelle Franklyn,86856,1
Bob Wills & His Texas Playboys / Rusty McDonald,89053,1
Bob Wills & His Texas Playboys / Billy Jack Wills,89054,1
Little Dragon,88589,1
La Vela Puerca,88654,1
Alexi Murdoch,87188,1
Zeca Pagodinho,87398,1
Crystal Castles,87549,1
The Line,87655,1
The Rippingtons / Steve Reid,84945,1
Bombay Bicycle Club,91041,1
Paul Jones,92142,1
Roy Eldridge / Oscar Peterson,91949,1
Project Born / Insane Clown Posse,89430,1
Myzery / Insane Clown Posse,89431,1
Twiztid / Insane Clown Posse,89432,1
Lester Young / The Kansas City Seven,89465,1
Gordon Jenkins,89594,1
The Early November,89609,1
Divino,90279,1
Luis Cobos,90753,1
Yul Brynner,85867,1
The Young Rascals,85988,1
Joey Ramone,86542,1
Chris Harris,86651,1
Ben Webster / Gerry Mulligan,84064,1
Ben Webster / The Ravens,84065,1
Celso Piña,83509,1
Mary J. Blige / Jadakiss,81313,1
Mary J. Blige / Aretha Franklin,81314,1
Sublime / Gwen Stefani,81760,1
Mary J. Blige / K-Ci,81787,1
Sisqo / The Dragon Family,81839,1
Sisqo / The Associates,81840,1
Cow Cow Davenport,80510,1
Billy Dean,81969,1
Hank Mobley Quartet,82033,1
St. Vincent,82095,1
J. G. Williams,152725,1
Jess Stacy,151374,1
Animotion,152111,1
Steve Cropper,152723,1
Anna Netrebko,154778,1
Jovanotti,154818,1
Liquid Gold,154940,1
The Sixteen,154873,1
James McMurtry,143284,1
UGK,143436,1
Eddie Daniels,149162,1
Sugarloaf,145494,1
Duke Ellington / Harry Carney,147962,1
Duke Ellington / Alice Babs / Johnny Hodges,147964,1
Paul Jabara,148778,1
Mitsuko Uchida,155277,1
Paul Englishby,156271,1
Alexis Weissenberg,156616,1
Anne Sofie von Otter,161298,1
Kathleen Ferrier,161448,1
Rico Rodriguez,159431,1
Valentino,159459,1
Roberto Alagna,157218,1
Wibal y Alex,157289,1
Monk Higgins,157358,1
Xenia,159166,1
Howard Shore / Munich Symphony,163018,1
Nino Bravo,163450,1
Red Sovine / Webb Pierce,163418,1
Manuel Carrasco,163477,1
Orchestra Del Teatro Alla Scala Di Milano,136586,1
Special EFX,135940,1
Daniel Massey,137937,1
Alejandra Guzmán,137944,1
M.C. Hammer,138480,1
Birdman,139286,1
Frankie J,139666,1
Maroon 5 / Mary J. Blige,140166,1
The-Dream,140175,1
Baby Cham,140941,1
Don Drummond,141426,1
Roy Goodman,141934,1
Jowell & Randy,142168,1
Bobby Cruz,127688,1
The Highway QC's,134057,1
Coti,134222,1
Eduardo Fernández,134227,1
Marilyn Martin,129716,1
Greg Phillinganes,129717,1
The Searchers,128979,1
People'S Choice,129058,1
Jerry Orbach,129159,1
Grin,116614,1
Hernan Figueroa Reyes,116779,1
Heatmiser,116788,1
Stephen Hough,115656,1
David Oistrakh,115753,1
The Courteeners,113424,1
Jack Johnson / G. Love,114722,1
Jack Johnson / Ben Harper,114723,1
Zoom,124789,1
Nicole Scherzinger,125709,1
Kenna,122107,1
Mario Del Monaco,122580,1
Don Sebesky,126263,1
Deadmau5,126440,1
Ralph Votapek,127424,1
The Mowgli's,1425381,1
Cristian Puig,1425389,1
Karlos Rosé,1427407,1
Al Hudson And The Partners,1430098,1
Marvin Johnson,1397309,1
DJ Snake,1418112,1
Allman & Woman,1357197,1
Bell And James,1369422,1
Michel Rubini,1371771,1
Jhené Aiko,1376999,1
Sonny Charles And The Checkmates Ltd,1389959,1
Akki,1406527,1
Sheppard,1411053,1
The Kitchener,1411725,1
Tatiana Troyanos,1351240,1
Juan Diego Floréz,1354606,1
Bryn Terfel etc,1354607,1
Patricia Petibon etc,1354608,1
Al T. Joe,1321862,1
Ca$hflow,1323717,1
Cali Y El Dandee,1326213,1
MC Jin,1306518,1
Jesús Ojeda y Sus Parientes,1311303,1
Greg Kramer,1292820,1
Cheryl,1293611,1
Frances McDormand,1298610,1
Peter Asher,1298611,1
Vocal Group / Eddy Howard,1212466,1
Jay Blackton & His Orchestra,1213498,1
Jack Johnson / Ozomatli / G. Love,1278986,1
Willie Nelson / Jack Johnson / Ben Harper,1278987,1
Jack Johnson / Dave Matthews / Tim Reynolds,1263175,1
Jack Johnson / Eddie Vedder / Kawika Kahiapo,1260484,1
Jackson Browne / Jack Johnson / John Cruz,1260485,1
John Cruz / Jack Johnson / Jackson Browne,1260486,1
Jack Johnson / Jake Shimabukuro,1260487,1
Taj Mahal / Jack Johnson,1260488,1
"Damian ""Jr. Gong"" Marley / Jack Johnson / Paula Fuga",1260489,1
Ben Harper / Jack Johnson,1260490,1
Eddie Vedder / Jack Johnson / Zach Gill,1260492,1
Bahari,1193256,1
Benny Banks,1210153,1
Daniel Dayz,1189334,1
Daniel Renovato,1189335,1
Joywave,1218303,1
Ear2000,1221497,1
Bessie Banks,1228774,1
Another Bad Creation,1254854,1
Waxahatchee,1257224,1
The White Noise,1238532,1
The Treblemakers,1243133,1
JP Cooper,1243300,1
Rolando Villazón,1245523,1
Blossoms,1248728,1
The Dickie Betts Band,1249393,1
CPM 22,1185539,1
Ella Fitzgerald / Billy Kyle And His Trio,1188598,1
Ñejo & Dalmata,1140464,1
Vivian Rodríguez,1143420,1
Sergio García,1143426,1
Lluvia Ayala,1143428,1
Deep Purple / Stanley Turrentine / Shirley Scott,1155641,1
Eddy Howard / Vic Damone,1157534,1
Don Beto,1158895,1
Lianne La Havas,1126017,1
Paul Thompson,1129739,1
The Mighty Vikings,1130027,1
Sparkle / Cam'Ron / Nature,1085085,1
Lily Elise,1087479,1
Curtis Grimes,1087483,1
Jeff Jenkins,1087491,1
Ella Fitzgerald and Her Orchestra,1087868,1
Puertorican Power,1095215,1
The Earl Van Dyke Quartet,1098837,1
Billy Hawks,1098873,1
Tom Morello,1102721,1
CeeLo Green,1102820,1
Abigail Breslin,1106009,1
Derrick & Yvonne,1050470,1
The Rippingtons / Brandon Fields / Joe Sample / Russ Freeman,1064410,1
Celines,1064742,1
Alvin Joiner / Juvenile / Nature / Ja Rule / Reptile,1035244,1
DJ Quik / R. Kelly,1035245,1
Destiny's Child / Mocha,1035246,1
Talent / Vegas Cat,1035247,1
Khadejia / Marie Antoinette,1035248,1
Kinsman Dazz,1036859,1
Temple Church Choir,1039587,1
Anna Tomowa-Sintow,1044837,1
Barry Tuckwell,729255,1
Weller Quartet,735730,1
Håkan Hardenberger,739515,1
Léopold Simoneau,740333,1
James Graham,743300,1
Russ Freeman & The Rippingtons / Jeff Kashiwa / Steve Reid,726792,1
The Rippingtons / Jeff Kashiwa / Steve Reid,728525,1
American Pearl,760592,1
Yelawolf,761081,1
Big Sean,763439,1
James Moody And His Bop Men,748386,1
Charlie Teagarden / Lionel Hampton,713668,1
Leonard Bernstein / London Symphony Orchestra / June Anderson,714131,1
Sid Catlett,635400,1
Cootie Williams and His Orchestra,635748,1
Sir Neville Marriner / Academy of St. Martin in the Fields Chamber Ensemble / Jack Brymer,645601,1
Carlo Curley,653572,1
Magan,656552,1
DJ Shadow / Lateef The Truth Speaker / Q-Tip,660726,1
DJ Shadow / The Animaniaks / The Federation,661599,1
DJ Shadow / Christopher Karloff / Sergio Pizzorno,661600,1
Leonard Bernstein / London Symphony Orchestra / Kurt Ollmann / Della Jones / Adolph Green / June Anderson / Jerry Hadley,775382,1
"Tom Scott / David Paich / Jerry Lopez / Paul Jackson, Jr.",775330,1
"Tom Scott / David Paich / Luis Conte / Paul Jackson, Jr.",775331,1
Danielle de Niese,767810,1
Leonard Bernstein / London Symphony Orchestra / June Anderson / Nicolai Gedda,775389,1
Leonard Bernstein / London Symphony Orchestra / Christa Ludwig / June Anderson,775390,1
Leonard Bernstein / London Symphony Orchestra / Christa Ludwig / June Anderson / Nicolai Gedda,775392,1
Leonard Bernstein / London Symphony Orchestra / London Symphony Chorus / Simon Joly / Jerry Hadley,775393,1
Leonard Bernstein / London Symphony Orchestra / Adolph Green,775394,1
Leonard Bernstein / London Symphony Orchestra / Lindsay Benson / Clive Bayley / Richard Suart / Adolph Green / Jerry Hadley / John Treleavan / Neil Jenkins,775396,1
Leonard Bernstein / London Symphony Orchestra / Christa Ludwig / Adolph Green / June Anderson / Jerry Hadley,775398,1
Arthur Fiedler / The Boston Pops Orchestra / Robert Karol,775555,1
PIP,789340,1
Russ Freeman & The Rippingtons / Art Wood / Bridgette Bryant / James Gilstrap / Kirk Whalum / Lynne Fiddmont / Phil Perry,790238,1
Dev,783129,1
Kelly Price / Celeste Hicks / Cheree Owen / Claudia Price / Jerome Norman / Joni Norman / Sakina Price,786238,1
Kelly Price / Bebe Winans / Donnie McClurkin / Ragsdale / Shirley Murdock / The Williams Bros.,786240,1
Nolan Porter,801085,1
The Epsilons,805972,1
DJ Shadow / Keak Da Sneak / Mistah F.A.B. / Turf Talk,806008,1
Lionel Hampton / Charlie Teagarden,807197,1
Blue Raspberry,811847,1
Joan,813174,1
The Dope,817062,1
Arthur Fiedler / The Boston Pops Orchestra / Pasquale Cardillo,818831,1
Karmin,818944,1
L.V. Johnson,899039,1
The Michael Laird Brass Ensemble,829028,1
Calibre 50,840636,1
Flans,904472,1
Rival Sons,923858,1
Tim Gibbons,938826,1
Bambi Lee Savage,938827,1
Delores Hall,947165,1
Michelangelo Mejia,951517,1
Shirley Caesar & The Famous Caravans,871502,1
Soul Rebels Brass Band,873311,1
Alexandra Stan,878086,1
The Black Eyed Peas / Papa Roach,880397,1
Suga-T,847864,1
Roger Miller / Ray Price / Willie Nelson,850825,1
El Trono de México,852466,1
Greyson Chance,854818,1
The Rebirth Brass Band,820797,1
The New Orleans Jazz Vipers,820798,1
Kermit Ruffins & The Barbecue Swingers,820799,1
Free Agents Brass Band,820802,1
Steve Zahn And Friends,820803,1
Mardi Gras Indians,820807,1
Lil' Queenie & The Percolators,820809,1
James Brown & Dave Matthews,985108,1
Urban Cone,1023826,1
Nikki Jean,1034088,1
Rizzle Kicks,996423,1
Luciano Pavarotti with Jovanotti,997046,1
Luciano Pavarotti with Simon Le Bon,997047,1
"Luciano Pavarotti with Brian Eno, Bono and The Edge",997048,1
Luciano Pavarotti with Zucchero,997049,1
Dolores O'Riordan with Simon Le Bon,997050,1
Luciano Pavarotti with Meat Loaf,997051,1
Luciano Pavarotti with Dolores O'Riordan,997052,1
"Brian Eno, The Edge and Bono",997053,1
Luciano Pavarotti with The Chieftains,997054,1
Luciano Pavarotti and Friends,997055,1
Bob Atcher,999839,1
"Max Roach, Clifford Brown",971363,1
Allen Jones,971845,1
Red 7,928734,1
Schoolboy Q,929986,1
Woodkid,954427,1
Sak Noel,956087,1
Ann Nesby / New G / Ricky Dillard,964094,1
Thurston Dart,984190,1
"José Manuel Zamacona, Jr",975814,1
Los Sultanes,977856,1
Karen Rodriguez,981411,1
Gam Gam,982537,1
Greta Van Fleet,1910868,1
Código FN,1904505,1
The Struts,1907624,1
James Bay,1873579,1
Antony Pay,1888360,1
Catarina Ligendza,1895017,1
Ryan Dunn,1926921,1
Los Ángeles Negros,1917525,1
The Revivalists,1946097,1
Elvis Costello And The Roots,1950667,1
Blaine Long,1951824,1
Proyecto X,1952024,1
Westminster Cathedral Boys Choir,1952341,1
RY X,1957859,1
Chuck Brooks,1527590,1
Los Canarios De Michoacán,1528265,1
Lionel Hampton And His Orchestra / Montgomery Johnson,1513483,1
Lionel Hampton And His Orchestra / Jimmy Scott,1513484,1
Ralph McDonald,1527136,1
Lonnie Liston Smith & The Cosmic Echoes,1865920,1
Henry Méndez,1532098,1
Grupo Azteka,1536408,1
Doug E. Fresh & The Get Fresh Crew,1539159,1
Torsten Voges,1857555,1
General Kane,1463873,1
Carrie McDowell,1463875,1
A.B. Quintanilla III,1468967,1
Lester Young / Oscar Peterson / Buck Clayton / Harry Edison,1475857,1
"Funk, Inc.",1477631,1
Lester Young / Oscar Peterson / Harry Edison / Buck Clayton,1482206,1
"Lester Young / Harry ""Sweets"" Edison / Oscar Peterson / Harry Edison / Buck Clayton",1482208,1
Lionel Hampton And His Orchestra / Charles Mingus,1513478,1
Mosley & The B-Men,1485452,1
Jimmy Dotson,1499328,1
Welshly Arms,1508607,1
Anthony Billups,2158521,1
Bruce Greenwood,2194567,1
La Reunion Norteña,2215744,1
Cole Vosbury,2231131,1
Rae Sremmurd,2263608,1
La Energia Norteña,2241735,1
Lon Chaney,2251437,1
Sylvan Esso,2147836,1
Gerry Woo,2100833,1
Jon Bellion,2101320,1
Takuya Kuroda,2159214,1
Matt Cermanski,2162251,1
Los Dinnos Aurios,2169928,1
Six Hits And A Miss,2120403,1
"Choir of Christ Church Cathedral, Oxford",2123195,1
Peedi Crakk,2128207,1
Shorty 101,2133589,1
Hannah Fairlight,2133604,1
Henry Wolfe,2139863,1
Hersang,2078498,1
Monika Leigh,2063154,1
Razorbrain,2063543,1
Leonard Bernstein / London Symphony Orchestra / Kurt Ollmann / London Symphony Chorus / Christa Ludwig / Della Jones / Adolph Green / June Anderson / Jerry Hadley / Nicolai Gedda,2085062,1
Champ Kind,2093495,1
Meghan Linsey,2099476,1
Kent & Jeanie,2099846,1
Jamestown Revival,2032171,1
Blackbear,2045114,1
Mon Laferte,1993638,1
The WRECKING CREW,1999657,1
Ella Eyre,2020893,1
Madi Davis,2024962,1
Tonya Boyd-Cannon,2028974,1
Leonard Bernstein / London Symphony Orchestra / London Symphony Chorus / Adolph Green,2085064,1
Leonard Bernstein / London Symphony Orchestra / Lindsay Benson / Clive Bayley / Richard Suart / London Symphony Chorus / Adolph Green / Jerry Hadley / John Treleavan / Neil Jenkins,2085065,1
Leonard Bernstein / London Symphony Orchestra / London Symphony Chorus / Christa Ludwig,2085066,1
Leonard Bernstein / London Symphony Orchestra / Kurt Ollmann / London Symphony Chorus / Christa Ludwig / June Anderson / Jerry Hadley,2085067,1
Leonard Bernstein / London Symphony Orchestra / Kurt Ollmann / London Symphony Chorus / Della Jones / Jerry Hadley,2085068,1
Leonard Bernstein / London Symphony Orchestra / London Symphony Chorus / Nicolai Gedda,2085069,1
Leonard Bernstein / London Symphony Orchestra / Kurt Ollmann / London Symphony Chorus / Christa Ludwig / John Treleavan / Nicolai Gedda,2085070,1
"Gocho ""El Lápiz De Platino""",2091270,1
Black Society,2602830,1
Harvey Scales,2602833,1
March Wind,2602836,1
Carolyn Hurley,2602843,1
Cix Bits,2602844,1
Joy Felming,2602845,1
Jacqui Verdell,2602846,1
"Roebuck ""Pop"" Staples",2602848,1
Randy Brown And Company,2602851,1
Willie Singleton,2602852,1
Barbara & Joe,2602853,1
The Dynamic Soul Machine,2602854,1
Teresa Davis,2602855,1
Dean Lewis,2637533,1
Billie Holiday / Sy Oliver & His Orchestra,2656801,1
Billie Holiday / Billy Kyle And His Trio,2656802,1
Los Unicos México,2567059,1
The Fourth Way,2573513,1
Katie Love,2588986,1
Billie Holiday / John Simmons & His Orchestra,2656806,1
Luke Wade,2545391,1
Burt Reynolds,2546432,1
Marc E. Bassy,2526272,1
Rudy Robinson & The Hungry Five,2529630,1
Charlene & The Soul Serenades,2529631,1
The Limitations,2529632,1
United Image,2529633,1
Eddie Giles,2529634,1
Joni Wilson,2529635,1
Mura Masa,2340086,1
Judah & the Lion,2416441,1
David Bell,2345908,1
"Howlin' Wolf with Steve Winwood: Piano & Organ, Bill Wyman: Bass Guitar, Shaker & Cowbell,  Charlie Watts: Drums, Conga & Assorted Percussion",2356788,1
Garry Glenn,2303407,1
Shawn Mendes,2313977,1
Trebol  Clan,2315397,1
Tory Lanez,2287000,1
Little May,2287274,1
Dino & Doc,2529619,1
Art Jerry Miller,2529620,1
Colette Kelly,2529622,1
"Roebuck ""Pops"" Staples",2529625,1
Chris And Shack,2529626,1
Jones And Blumenberg,2529627,1
Grupo Manía,2458505,1
Taye Diggs,2470083,1
Sharaya J,2470595,1
Bill Finley,2428436,1
Oscar D'León / Jose Alberto,2438269,1
Oscar D'León / Tito Puente,2438270,1
Oscar D'León / India,2438271,1
Tadeo Pequeño,2795806,1
Ernesto Stuwe,2795807,1
Alfonso Ramírez,2795808,1
Erez Ofer,2805222,1
National Symphony Orchestra Washington,2805690,1
The John Alldis Choir,2794719,1
Quentin Tarantino,2812434,1
Harvey Keitel,2812435,1
Paulinho Da Costa,2812452,1
"Choir Of St. John's College, Cambridge",2805846,1
Waynflete Singers,2805932,1
Jascha Silberstein,2806157,1
Richard Hickox Orchestra,2806317,1
Philip Jones,2806318,1
Simón Bolívar Youth Orchestra of Venezuela,2806434,1
Tommy Hanlon Jr.,2689240,1
Adam Devine,2713151,1
Jessie Pitts,2697911,1
Bad Royale,2767544,1
Ronit Shapira,2793639,1
Hana Tzur,2793640,1
The Temptations / George Kirby / Kaye Stevens,2753405,1
Wilhelm Davos,2820908,1
Georgie Stoll & His Orchestra,2817313,1
Women Of The Tanglewood Festival Chorus,2818678,1
Max Hobart,2821758,1
Chester Schmitz,2821756,1
Sandy Duncan,2813922,1
Philip Jones Ensemble,2806862,1
Jerome Rosen,2813487,1
Andr?? Rieu,2813756,1
Saul Quirke,2813792,1
Martin Horsey,2813863,1
Prince Line,2813865,1
Neil Rosenshein,2825978,1
Nancy Williams,2825979,1
Charles Yancich,2821763,1
Alastair Roberts,2821854,1
Toni Collette,2822132,1
G. Shock,2823392,1
Marcello Gámiz,3512688,1
Betsy Cathcart,3392850,1
Sarah Hyland,3540665,1
MilesExperience,3560477,1
"Jesús ""El Flaco"" Elizalde",3567249,1
Pancho Molar,3569489,1
Lew Temple,3569490,1
Mosa Wild,3576656,1
Los Toros Band [Artist],3612471,1
Noah Kahan,3612584,1
Glen Bolton,3628250,1
Lewis Capaldi,3703514,1
"Sua, Jiggy Drama",3367910,1
"Timbaland, Veronica",3368038,1
"Insane Clown Posse, Twiztid",3368585,1
Russell Rush,3381811,1
"Natalie Cole, Nat ""King"" Cole",3383584,1
Nehemiah Persoff,3392848,1
Mark Hood,3449325,1
Daria Jazmin,3449331,1
Amanda Ayala,3449334,1
Regina Love,3449338,1
Jubal and Amanda,3449348,1
Jan Fairchild,3449421,1
Ocean Park Standoff,3477621,1
SI Istwa,3477640,1
Niall Horan,3477643,1
Colt Prattes,3763174,1
Debra Messing,3763175,1
The Cast Of Dirty Dancing,3763176,1
Lawrence Hilton-Jacobs,3569487,1
Marley Girls,3899885,1
Nina Simone Simms,3958595,1
Gil Fuller & The Monterey Jazz Festival Orchestra,4024669,1
Magdalena Kožená,4074289,1
Freddie Slack's Quartet,4103948,1
Cardenales De Nuevo LeÃ³n,4299866,1
Billy Raffoul,3752214,1
Angelica Tavella,4340084,1
Whitney Reign,4404491,1
Ray Brown With The All-Star Big Band,3140294,1
Gryffin,3155678,1
Calum Scott,3178868,1
Tzigane Elek Bacsik,3180878,1
Victoria La Mala,3185507,1
Marcus Strickland's Twi-Life,3198042,1
Byron Utley,3216125,1
Harold Kay,3086693,1
Leah Jenea,3100036,1
Bluesology,3103912,1
Bayeté,3138776,1
Big Sis Andrews and Her Huckle-Busters,3243546,1
Ceelle Burke And His Orchestra,3243548,1
Carlinhos Do Repique,3255145,1
Rhys Lewis,3330373,1
Pucho And The Latin Soul Brothers,3265425,1
The Pazant Brothers & The Beaufort Express,3281147,1
The Round Robin Monopoly,3289756,1
Jack Miller Orchestra,3023609,1
Banda Coraleña,3031620,1
The Groove Robbers,2954246,1
The Thad Jones-Mel Lewis Jazz Orchestra,2956840,1
Garry Burkhardt,2945289,1
Clint Allmon,2945290,1
Paul Ukena Jr.,2945291,1
Reuben Green,2951615,1
Edgar Campbell,2952814,1
Baby (Cash Money),2943766,1
Art Hodes Orchestra,2943869,1
Jeff Daniel Phillips,2944909,1
Chico O'Farrill and Clark Terry,2832891,1
Tess Boyer,2864578,1
Stevie Jo,2864596,1
Pasquale Cardillo,2859957,1
Henderson Forsythe,2860122,1
Joao Do Valle,2871809,1
Maria Esther Zamora,2884858,1
Paula Lawrence,2884901,1
Indian Bottom Association Old Regular Baptists,2885869,1
Paul Dano,2891727,1
Lee Young,2897228,1
Elizabeth Banks,2907818,1
Rebel Wilson,2908283,1
Marc Moreland,2914938,1
Eddie Costa Quartet,2927573,1
Archie Hahn,2932799,1
The Beach Bums,2932800,1
Young Chris,17742,1
Tonic,17800,1
John Berry,17821,1
George Clinton,17822,1
Rodney Carrington,17824,1
Nelson Ned,17871,1
The Three Sounds,17704,1
Candido,17668,1
Carlos Ponce,17628,1
Wilson Phillips,17654,1
Johnny Smith,18004,1
The Waitresses,18015,1
Ray Anthony,18038,1
Pandora,18056,1
Daniela Romo,18057,1
Jimmy McGriff,18152,1
Johnny Knoxville,17765,1
Minutemen,17766,1
Sylvia Telles,17952,1
Quarteto Em Cy,17955,1
Chico Buarque,17957,1
Harry James,18559,1
Tom T. Hall,18504,1
Boo And Gotti,18237,1
Teresa Brewer,18222,1
OMC,18230,1
3rd Bass,18207,1
Carol Burnett,18195,1
Aroma,18201,1
Creative Source,18203,1
Kevin Eubanks,19067,1
Go-Go's,19081,1
Son House,19083,1
Charlie Daniels,19086,1
Alina,18993,1
Men Without Hats,18998,1
George Baker Selection,19048,1
Glass Tiger,18850,1
Sly Dunbar,18864,1
Izzy,18929,1
Edmond Hall,18973,1
Gene Harris,18633,1
The Surfaris,18580,1
Don Byas,18567,1
Billy Butterfield,18565,1
Fred Waring,19790,1
Keziah Jones,19507,1
Pete Seeger,19910,1
Charly García,19915,1
Nana Caymmi,19933,1
Laurindo Almeida,19806,1
Eddie Palmieri,20027,1
Guillemots,20058,1
Matt Redman,20075,1
Eric Church,20081,1
Maria Bethânia,20200,1
Mindless Self Indulgence,20503,1
J.B. Lenoir,19152,1
Anastacia,19311,1
Gene Loves Jezebel,19184,1
Joe Pass,19345,1
The Louvin Brothers,19435,1
Annet Artani,26199,1
Love and Rockets,26622,1
Houston Person,26811,1
Sérgio Mendes Trio,26826,1
Willie Colon,26994,1
Central Line,26997,1
The Hi-Lo's,27322,1
The Clovers,27332,1
Chris Montez,27364,1
Lanterna,27465,1
Howard Huntsberry,27533,1
Basshunter,27539,1
Galaxie 500,27477,1
Jack Kerouac,27481,1
The Lively Ones,27846,1
Motion City Soundtrack,27647,1
Wall Of Voodoo,27802,1
Frank Melrose,27591,1
Dan Hartman,25341,1
Shannon,25359,1
Jean-Pierre Rampal,25514,1
Flyleaf,25189,1
Grady Tate,26057,1
Peaches,25110,1
Kartier,23875,1
Volbeat,24923,1
Ben Lee,24194,1
Moreira Da Silva,24303,1
The Heights,24397,1
Jamie T,24509,1
Aly & AJ,24522,1
Gigi,24622,1
Chumbawamba,23591,1
Sabine Meyer,23635,1
Leila Pinheiro,23519,1
Jesse McCartney,23545,1
Brownsville Station,23822,1
Belle,22871,1
David Allan Coe,23055,1
Nicky Jam,23270,1
The Exciters,22060,1
Gene Autry,22010,1
Percy Faith & His Orchestra,22338,1
Danny Kaye,22340,1
Tex Ritter,22342,1
Sly & Robbie,22352,1
The Beverley Sisters,22355,1
Tex Williams,22402,1
Jay McShann,22418,1
Dan Fogelberg,22585,1
Porter W Wagoner,21099,1
Seals & Crofts,21113,1
George Michael,21269,1
Lefty Frizzell,20722,1
Stanley Black and his Orchestra,20922,1
Tammy Wynette,20804,1
Robert Marley,21301,1
Dirty Pretty Things,21374,1
Michelle Branch,21391,1
Robert Nighthawk,21959,1
Johnny Dodds,21964,1
Nicolai Ghiaurov,16095,1
Tracie Spencer,15992,1
Jon Secada,16231,1
Dr. Hook,15960,1
The Lettermen,15961,1
Missing Persons,15962,1
Maze Featuring Frankie Beverly,15965,1
Vixen,15977,1
Hank Mobley,15951,1
Mongo Santamaria,15814,1
Puya,15827,1
Lamont Dozier,15831,1
Guy,15853,1
N.W.A.,15883,1
EPMD,15897,1
Pops Staples,16299,1
Johnny Hates Jazz,16394,1
Dave Koz,16409,1
Prodigy,16458,1
When In Rome,16273,1
Axxis,16250,1
Orchestral Manoeuvres In The Dark,16267,1
Klymaxx,16483,1
Gordon Jenkins & His Orchestra,16489,1
Donna Fargo,16501,1
Rebecca Lynn Howard,16508,1
Kurt Elling,17089,1
Kenny Dorham,17121,1
Trace Adkins,17208,1
Bob Dorough,17256,1
Pat Travers Band,17473,1
Lifer,17481,1
Flaw,17510,1
Patti LuPone,17545,1
Liz Lands,17550,1
The James Gang,17551,1
Richie Havens,16714,1
The Mission,16704,1
Toto,16683,1
Harold Faltermeyer,16684,1
Serge Gainsbourg,16691,1
Jeru The Damaja,16699,1
Corey Hart,16817,1
Jeff Beck,16824,1
Ricky Nelson,16772,1
Djavan,16846,1
Gang Starr,16929,1
Huey Lewis & The News,16924,1
June Hutton,17073,1
Dolores Gray,17074,1
Utada,13442,1
Aurora,13321,1
Hugo,13355,1
M.I.A.,13391,1
Joey Defrancesco,13663,1
Bobbi Humphrey,13694,1
Merle Haggard,13768,1
Reuben Wilson,13817,1
Art Blakey Quintet,13730,1
Vince Guaraldi Trio,13953,1
Ryan Leslie,14017,1
Peter Case,11736,1
Gloria Estefan,11855,1
Tony Yayo,11612,1
XTC,11670,1
Gary Bartz,11537,1
Liz Phair,11541,1
Ricardo Montaner,11570,1
Cecilia Bartoli,12892,1
Val Young,13149,1
Digable Planets,13161,1
Slaughter,12828,1
Senses Fail,12010,1
Kennedy,12263,1
Homer Banks,14278,1
Suzy Bogguss,14238,1
Deana Carter,14239,1
Young Jeezy,14300,1
Junior,14304,1
The Shangri-Las,14045,1
Julie Andrews,14083,1
Gil Shaham,14124,1
Shawnna,15000,1
Dave Baby Cortez,14708,1
U-Roy,14721,1
Allister,14446,1
Hellogoodbye,14447,1
Terence Blanchard,14516,1
Dianne Reeves,14518,1
Camille,15142,1
Michael Gettel,15061,1
Antonio Orozco,15130,1
Diego Torres,15133,1
Ketama,15399,1
Mary McBride,15498,1
The Gas Band,15499,1
Frank Turner,15346,1
A*Teens,15382,1
David Civera,15395,1
The Martins,15589,1
Dreadzone,15609,1
Lakatos,15650,1
Anthony Newley,15675,1
Rosalind Russell,15796,1
The Chambers Brothers,49208,1
Maxwell,49953,1
Mica Roberts,50449,1
