artistname,artistid,Total tracks
Al Green,18776,20
Black Joe Lewis & The Honeybears,293370,20
Raphy Leavitt,299019,20
Noztra,327690,19
Sylvester And The Hot Band,401695,19
Zucchero,154809,19
Vladimir Ashkenazy,154852,19
London Festival Orchestra,210005,19
The Lonely Island,276915,19
Jorge Valenzuela,2177464,19
London Voices,1880562,19
Kevin Ross,1900433,19
HS87,2270374,19
Arthur Prysock,18557,19
Max Bygraves,18348,19
The Posies,27618,19
Buddy Rich,17120,19
Brian Hyland,14042,19
Merle Haggard & The Strangers,15621,19
Elvin Jones,30472,19
Jennifer Holliday,31732,19
Sir Douglas Quintet,56140,19
The Dramatics,46094,19
Danny Rivera,66591,19
The Originals,6788,19
Keith Jarrett Trio,6677,19
Bonnie Raitt,4701,19
David Sanborn,4100,19
Mandy Barnett,4119,19
Common,47,19
Renée Fleming,2945,19
Carter Burwell,2531,19
New York Philharmonic Orchestra,2731,18
Toots Thielemans,1646,18
Papa Roach,353,18
Los Originales De San Juan,975,18
Otis Redding,4360,18
Gladys Knight,6789,18
John Barry,8340,18
Barry McGuire,10845,18
João Gilberto,11301,18
Stephen Bishop,60043,18
Buddy Greco,40342,18
Art,13428,18
Pat Travers,17472,18
Otis Spann,21569,18
La Original Banda El Limón de Salvador Lizárraga,995027,18
L.T.D. / Jeffrey Osborne,1364408,18
José James,223994,18
Lionel Hampton & His Sextet,230469,18
Baby Rasta,176536,18
Elina Garanca,154904,18
Buddy Rich And His Buddies,86802,18
Dick Curless,327383,18
Rigo Tovar,310145,18
Alih Jey,289208,18
Chick Webb And His Orchestra,283691,18
Don Dinero,319444,17
Ellie Goulding,468585,17
Chino & Nacho,561489,17
Frederica von Stade,91386,17
Bustamante,120101,17
Pitingo,176162,17
Seth MacFarlane,1090223,17
The Kentucky Headhunters,703360,17
Georgie Fame & The Harry South Big Band,2971798,17
The Standells,27503,17
Nara Leão,17954,17
Graciela Beltrán,17915,17
Red Foley,16475,17
Asleep At The Wheel,16253,17
Danzig,36820,17
Sonny James,39071,17
The Jets,34024,17
Little Milton,10896,17
Lighthouse Family,10584,17
Rahzel,10717,17
Gidon Kremer,4312,17
Selena,2385,17
Anthony Rapp,2568,17
Brook Benton,1568,17
Marlena Shaw,1560,17
Chanté Moore,1985,16
Robbie Williams,386,16
R. Kelly,606,16
Finch,45,16
UNKLE,18,16
Les McCann,6055,16
Pesado,5605,16
Bill Evans Trio,5183,16
Roy Buchanan,9549,16
Richard Carpenter,11080,16
Blues Traveler,11133,16
Melvin Riley,39311,16
The Irish Rovers,43490,16
Albert Collins,16292,16
Poison,12823,16
Paul Chambers,19452,16
El General,27470,16
Ilegales,25062,16
Gal Costa,21381,16
Martha Reeves,20863,16
Dick Haymes,22368,16
Julión Álvarez Y Su Norteño Banda,1014135,16
Elsa García,2333733,16
Banda Rancho Viejo,1862046,16
Vinícius de Moraes,172149,16
Juan Diego Flórez,218886,16
Jerry Hadley,219219,16
Stefano Bollani,135265,16
Sir James Galway,108543,16
Alex D'Castro,319442,16
Flakiss,321616,16
Mel Brown,287878,16
Gene Krupa Big Band,322153,15
Gerald Clayton,431755,15
Herencia De Jalisco,338171,15
Liberación,342197,15
Gerardo Williams,356530,15
Banda Preciosa De Durango,356548,15
José Manuel Figueroa,369451,15
Nelson Teran,369811,15
John Williams,162897,15
London Symphony Chorus,1327226,15
Charlie Sexton,11731,15
Lee Konitz,15970,15
Loretta Lynn / Conway Twitty,72737,15
Marvin Sease,37247,15
Freddie Slack,37006,15
Snot,35594,15
The Cruel Sea,35243,15
Randy Edelman,31724,15
Patty Griffin,11135,15
Peter Frampton,11137,15
Jackie Greene,8905,15
702,10202,15
Chico DeBarge,10277,15
Christian McBride,5354,15
Erick Sermon,3631,15
Brenda Holloway,324,15
Siouxsie And The Banshees,236,15
Lionel Richie,237,15
Thelma Houston,341,15
Jack Jones,1635,15
Steven Tyler,2623,15
John Debney,2759,14
The Chad Mitchell Trio,2362,14
Roy Hargrove,2968,14
Lionel Hampton,2819,14
Russ Freeman,1719,14
Thomas Quasthoff,2263,14
CeCe Peniston,1545,14
Vanessa Williams,1495,14
Kevin Rowland & Dexys Midnight Runners,1405,14
Earl Van Dyke & The Soul Brothers,1340,14
Beastie Boys,505,14
Everclear,513,14
Guns N' Roses,678,14
Def Leppard,886,14
Steve Winwood,100,14
Santana,3815,14
Barbara Hendricks,3227,14
Elis Regina,3938,14
Aaron Hall,3112,14
Pat Metheny,4031,14
Meat Puppets,4415,14
Jonathan Butler,5357,14
Martha & The Vandellas,8827,14
Hattie Littles,8833,14
Faron Young,10423,14
Freddie King,10221,14
Blue Mitchell,9822,14
Walter Wanderley,11303,14
Baden Powell,11293,14
St. Lunatics,10863,14
City High,11032,14
Roberto Pulido,29137,14
Deadsy,34612,14
Stuff Smith,36997,14
Return To Forever,39321,14
Laura Fygi,38398,14
Lalo Schifrin,40614,14
Little Junior Parker,60045,14
Solo,66873,14
Pete Fountain,42864,14
The Honeydogs,46092,14
Terri Clark,16497,14
Don Omar,11552,14
Ralph Tresvant,15803,14
Dr. Michael White,14894,14
Booker T & The MG's,22862,14
Charles Lloyd,27833,14
Otis Rush,19146,14
The Oak Ridge Boys,18046,14
Chris Stapleton,1232860,14
Chaz French,2709869,14
Koryn Hawthorne,2738215,14
Badi Assad,162748,14
Academy of St. Martin in the Fields,166292,14
Marty Stuart And His Fabulous Superlatives,267331,14
Tommy Sims,369656,14
Blue Merle,385523,14
Amaury Gutiérrez,532473,14
Vai DaCapo,548405,13
Stompin' Tom Connors,428426,13
Kumbiambé,356090,13
Blue Flannel,318942,13
Blue Hawaiians,318946,13
Peligro Norteño,310124,13
Ezequiel Peña,309051,13
Julian Lage,308184,13
Ponzoña Musical,298750,13
Creeper Lagoon,172367,13
Locos Por Juana,196142,13
Ruggiero Ricci,159392,13
Marvin Hamlisch,129713,13
Temprees,103155,13
Maureen McGovern,90082,13
Mafer Chavana,2343536,13
Kandace Springs,2427956,13
Los Ángeles Azules,1913775,13
The Swon Brothers,1928741,13
Sebastian Kole,3228642,13
Agatha Kaspar,4340080,13
Jason Moran,17703,13
The O'Jays,14284,13
Marta Sánchez,15397,13
Raphael,15082,13
Kenny Rogers & The First Edition,15107,13
Kenny Burrell,13162,13
Webb Pierce,16476,13
Art Blakey & The Jazz Messengers,15952,13
Sharissa Dawes,17526,13
Hank Thompson,17251,13
John Scofield,16827,13
Jon McLaughlin,72547,13
Jorge Muñiz,60132,13
Michel Camilo,60289,13
Buck Howdy,76338,13
Dizzy Gillespie Quintet,40291,13
Kenny Werner,40582,13
The Samples,33994,13
Fantastic Four,11154,13
James Cotton,10271,13
The Mavericks,10810,13
G. Love,5844,13
José Carreras,6387,13
Randy Newman,4304,13
Ace Frehley,4340,13
The RH Factor,821,13
Arturo Sandoval,776,13
Ramones,393,13
Van Morrison,460,13
Tracy Byrd,2185,13
Sonny Terry,2904,13
Duke Ellington,2573,13
Basil Poledouris,2724,13
Queen Latifah,2539,13
Tangerine Dream,1648,12
